ds,High_Upper,Higher_Lower,Low_upper,Low_Lower,Open,ETH,USDT
2021-01-19 00:00:00,1324.1517769535742,1224.9156617826702,1288.5148349460035,1182.4579614074626,1258.45,0.820616226830494,0
2021-01-19 04:00:00,1339.1730817963464,1233.11877437782,1289.9106293245416,1187.7211175925474,1321.5,0.820616226830494,0
2021-01-19 08:00:00,1334.7164603722113,1233.8690630433894,1286.4311944810345,1187.8021503340672,1375.0,0.820616226830494,0
2021-01-19 12:00:00,1337.4206143664694,1235.4745692970082,1284.5188556672233,1180.6017324534969,1429.56,0.820616226830494,0
2021-01-19 16:00:00,1351.8295057247951,1246.3854596116162,1295.0724481006673,1189.8808160190836,1413.95,0.820616226830494,0
2021-01-19 20:00:00,1355.9521601734384,1252.3120942121398,1310.416257642897,1212.2383496015364,1359.6,0.820616226830494,0
2021-01-20 00:00:00,1360.100786106117,1255.444969449872,1310.113280095437,1211.2449597616542,1365.36,0.820616226830494,0
2021-01-20 04:00:00,1376.6736292397266,1271.3227198036132,1328.9259241167235,1222.1137897183517,1344.03,0.820616226830494,0
2021-01-20 08:00:00,1390.99826676982,1280.9183646517367,1320.7656928865465,1216.009337089552,1369.92,0.820616226830494,0
2021-01-20 12:00:00,1380.7994726851184,1275.5002898449375,1325.8855249579244,1218.8269565129451,1265.39,0.820616226830494,0
2021-01-20 16:00:00,1393.9456076327506,1283.2662206103748,1323.4154659299038,1217.9053048699257,1273.29,0.820616226830494,0
2021-01-20 20:00:00,1397.2342977471653,1285.965481215716,1334.09783000836,1229.520642499589,1345.8,0.820616226830494,0
2021-01-21 00:00:00,1399.1688621342514,1293.5340624828366,1334.989616559634,1226.4032640085811,1376.99,0.820616226830494,0
2021-01-21 04:00:00,1402.9437154415532,1290.5665592000325,1345.2366136149853,1242.9369703803354,1326.5,0.820616226830494,0
2021-01-21 08:00:00,1400.5450953744382,1293.4197189464555,1347.7771646173862,1238.9327045993334,1309.62,0,1074.6954229817513
2021-01-21 12:00:00,1397.4101431007903,1290.795085096158,1337.4764403614477,1224.6356522854076,1236.31,0,1074.6954229817513
2021-01-21 16:00:00,1402.508864178266,1288.6238181537915,1333.9981555760637,1227.724535816582,1188.68,0,1074.6954229817513
2021-01-21 20:00:00,1387.645012093825,1280.5785426227178,1331.157376767662,1226.59622400782,1231.18,0,1074.6954229817513
2021-01-22 00:00:00,1385.84091403398,1278.3479323764266,1317.5585176291333,1211.0756327371832,1110.96,0,1074.6954229817513
2021-01-22 04:00:00,1380.8236322267533,1268.826979234125,1318.6662125280875,1204.4542036107282,1160.73,0,1074.6954229817513
2021-01-22 08:00:00,1373.1194889555572,1260.824918900042,1324.7509573047785,1213.58042588078,1143.58,0,1074.6954229817513
2021-01-22 12:00:00,1372.953548926837,1262.589559077293,1318.4831222558732,1206.366556056709,1197.57,0,1074.6954229817513
2021-01-22 16:00:00,1389.0791678673963,1269.4734657248648,1316.7981719425197,1204.2593989962365,1232.88,0,1074.6954229817513
2021-01-22 20:00:00,1383.0260181074357,1267.9627936282232,1318.553174990994,1211.8354668135228,1267.61,0,1074.6954229817513
2021-01-23 00:00:00,1378.3484640834401,1265.7876816793134,1314.033200319109,1204.3077000779117,1232.62,0,1074.6954229817513
2021-01-23 04:00:00,1388.5333405920487,1272.103598611998,1320.5940336132583,1213.3462967416951,1231.67,0,1074.6954229817513
2021-01-23 08:00:00,1392.4149590653087,1275.2275499851446,1332.744794710136,1218.4657818214325,1259.62,0.8531901867084926,0
2021-01-23 12:00:00,1391.8953938247696,1272.6409749391892,1329.0278098554973,1215.360833015603,1219.07,0.8531901867084926,0
2021-01-23 16:00:00,1387.8901719908886,1275.4680621993057,1328.0164209246896,1214.8729052524689,1230.26,0.8531901867084926,0
2021-01-23 20:00:00,1396.1357697286412,1284.6871578390542,1332.3974545026908,1219.542244849687,1257.83,0,1073.1682125475431
2021-01-24 00:00:00,1395.2731858832276,1276.6418182557222,1332.37283541669,1216.9280090637217,1233.6,0,1073.1682125475431
